rank	name	childcount	min	max	mode	median	mean	stddev
genus	Coriobacterium	1	2	2			2.0	0.0
genus	Francisella	4	1	3			2.75	0.43
genus	Sulfuricurvum	2	3	4			3.5	0.5
genus	Flexistipes	1	2	2			2.0	0.0
genus	Oscillibacter	1	3	3			3.0	0.0
genus	Sodalis	3	1	7			3.0	2.83
genus	Alteromonas	2	5	5			5.0	0.0
genus	Neisseria	3	4	4			4.0	0.0
genus	Staphylothermus	2	1	1			1.0	0.0
genus	Arcanobacterium	1	4	4			4.0	0.0
genus	Hirschia	1	2	2			2.0	0.0
genus	Pseudogulbenkiania	1	8	8			8.0	0.0
genus	Methylomicrobium	1	3	3			3.0	0.0
genus	Carboxydothermus	1	4	4			4.0	0.0
genus	Pectobacterium	4	7	7			7.0	0.0
genus	Sulfurihydrogenibium	2	2	3			2.5	0.5
genus	Lactococcus	2	5	6			5.5	0.5
genus	Clavibacter	1	2	2			2.0	0.0
genus	Methylomonas	1	3	3			3.0	0.0
genus	Robiginitalea	1	2	2			2.0	0.0
genus	Lysinibacillus	1	10	10			10.0	0.0
genus	Thermofilum	2	1	1			1.0	0.0
genus	Olsenella	1	1	1			1.0	0.0
genus	Roseobacter	2	1	1			1.0	0.0
genus	Anaerolinea	1	2	2			2.0	0.0
genus	Propionivibrio	1	2	2			2.0	0.0
genus	Magnetococcus	1	3	3			3.0	0.0
genus	Candidatus Solibacter	1	2	2			2.0	0.0
genus	Prevotella	5	4	4			4.0	0.0
genus	Cryptobacterium	1	3	3			3.0	0.0
genus	Azorhizobium	1	3	3			3.0	0.0
genus	Methanoculleus	2	1	1			1.0	0.0
genus	Haliscomenobacter	1	2	2			2.0	0.0
genus	Ruminococcus	2	1	4			2.5	1.5
genus	Cycloclasticus	2	1	1			1.0	0.0
genus	Catenulispora	1	3	3			3.0	0.0
genus	Alicycliphilus	1	3	3			3.0	0.0
genus	Xanthobacter	1	2	2			2.0	0.0
genus	Symbiobacterium	1	6	6			6.0	0.0
genus	Marinobacter	3	3	3			3.0	0.0
genus	Arsenophonus	1	2	2			2.0	0.0
genus	Deferribacter	1	2	2			2.0	0.0
genus	Delftia	2	5	5			5.0	0.0
genus	Segniliparus	1	1	1			1.0	0.0
genus	Kangiella	1	2	2			2.0	0.0
genus	Dichelobacter	1	3	3			3.0	0.0
genus	Carnobacterium	3	6	8			7.33	0.94
genus	Tetragenococcus	1	5	5			5.0	0.0
genus	Chromohalobacter	1	5	5			5.0	0.0
genus	Methanocorpusculum	1	3	3			3.0	0.0
genus	Amycolicicoccus	1	3	3			3.0	0.0
genus	Bacteroides	5	5	7			5.8	0.75
genus	Novosphingobium	2	3	3			3.0	0.0
genus	Tepidanaerobacter	1	2	2			2.0	0.0
genus	Beutenbergia	1	2	2			2.0	0.0
genus	Roseburia	2	1	4			2.5	1.5
genus	Archaeoglobus	4	1	1			1.0	0.0
genus	Brevibacillus	1	15	15			15.0	0.0
genus	Methanomethylovorans	1	2	2			2.0	0.0
genus	Psychrobacter	3	4	5			4.33	0.47
genus	Edwardsiella	2	8	8			8.0	0.0
genus	Paenibacillus	6	8	14			10.62	2.36
genus	Sorangium	1	4	4			4.0	0.0
genus	Nitrosospira	3	1	1			1.0	0.0
genus	Emticicia	1	2	2			2.0	0.0
genus	Vibrio	10	6	12			8.79	1.72
genus	Pseudoxanthomonas	2	1	2			1.5	0.5
genus	Saccharopolyspora	1	4	4			4.0	0.0
genus	Fibrella	1	3	3			3.0	0.0
genus	Thermosphaera	1	1	1			1.0	0.0
genus	Desulfurivibrio	1	2	2			2.0	0.0
genus	Rubrobacter	1	1	1			1.0	0.0
genus	Caldilinea	1	2	2			2.0	0.0
genus	Orientia	1	1	1			1.0	0.0
genus	Actinosynnema	1	5	5			5.0	0.0
genus	Thermomonospora	1	4	4			4.0	0.0
genus	Adlercreutzia	1	2	2			2.0	0.0
genus	Aquifex	1	2	2			2.0	0.0
genus	Psychroflexus	1	3	3			3.0	0.0
genus	Melissococcus	1	4	4			4.0	0.0
genus	Herpetosiphon	1	5	5			5.0	0.0
genus	Aeromonas	3	9	10			9.67	0.47
genus	Haloferax	2	2	2			2.0	0.0
genus	Silicibacter	1	3	3			3.0	0.0
genus	Methanobacterium	3	2	3			2.33	0.47
genus	Haemophilus	4	5	6			5.88	0.22
genus	Rhodopseudomonas	1	1	2			1.83	0.0
genus	Pusillimonas	1	2	2			2.0	0.0
genus	Polaribacter	1	2	2			2.0	0.0
genus	Ruminococcus2	1	1	1			1.0	0.0
genus	Gluconacetobacter	2	4	5			4.5	0.5
genus	Exiguobacterium	4	9	9			9.0	0.0
